,Codigo_Empresas,Codigo_Cliente,Estado_Entrega_Cliente,Codigo_Vendedores,Pedido,produto,Descr_Tabela,qtde,Vr_Unitario,Vr_Total,Data_Pedido,Data_Entrega,Status_Pedido,Tipo_Pedido_Desc
7972,04,84.683.374/0004-91,SP,015,00000083,LF1946,LONA FILTRO AS-130.CA-DUP 630X630 EMB01 (VEL)     ,35.0,82.58,2890.3,2011-10-20,2011-11-03,2,Vendas    
7973,04,04.815.734/0016-66,SP,011,00000084,LF0670,LONA FILTRO AS-130.CA-DUP 400X400 LISA (VEL)      ,9.0,38.0,342.0,2011-10-20,2011-10-28,2,Vendas    
7974,04,04.815.734/0016-66,SP,015,00000084,LF0670,LONA FILTRO AS-130.CA-DUP 400X400 LISA (VEL)      ,9.0,38.0,342.0,2011-10-20,2011-10-28,2,Vendas    
7975,04,72.050.636/0001-59,SP,011,00000085,LF0424,LONA FILTRO AS-130.CA-DUP 630X630 LISA (VEL)      ,80.0,60.0,4800.0,2011-10-20,2011-11-07,2,Vendas    
7976,04,72.050.636/0001-59,SP,014,00000085,LF0424,LONA FILTRO AS-130.CA-DUP 630X630 LISA (VEL)      ,80.0,60.0,4800.0,2011-10-20,2011-11-07,2,Vendas    
7977,04,62.461.140/0008-90,SP,011,00000086,SF0081,SACO FILTRO AS-120.TE D-520XH-600 MM              ,3.0,407.98,1223.94,2011-10-25,2011-11-10,2,Vendas    
7978,04,62.461.140/0008-90,SP,015,00000086,SF0081,SACO FILTRO AS-120.TE D-520XH-600 MM              ,3.0,407.98,1223.94,2011-10-25,2011-11-10,2,Vendas    
7979,04,62.461.140/0008-90,SP,011,00000086,JT0022,JUNTA FILTRO AS-120.TE D-340 X H-250 MM           ,3.0,117.49,352.47,2011-10-25,2011-11-10,2,Vendas    
7980,04,62.461.140/0008-90,SP,015,00000086,JT0022,JUNTA FILTRO AS-120.TE D-340 X H-250 MM           ,3.0,117.49,352.47,2011-10-25,2011-11-10,2,Vendas    
7981,04,62.461.140/0008-90,SP,011,00000086,JT0023,JUNTA FILTRO AS-120.TE D-260 X H-370              ,4.0,135.95,543.8,2011-10-25,2011-11-10,2,Vendas    
7982,04,62.461.140/0008-90,SP,015,00000086,JT0023,JUNTA FILTRO AS-120.TE D-260 X H-370              ,4.0,135.95,543.8,2011-10-25,2011-11-10,2,Vendas    
7983,04,62.461.140/0008-90,SP,011,00000086,JT0024,JUNTA FILTRO AS-120.TE D-280 X H-250              ,3.0,117.516,352.55,2011-10-25,2011-11-10,2,Vendas    
7984,04,62.461.140/0008-90,SP,015,00000086,JT0024,JUNTA FILTRO AS-120.TE D-280 X H-250              ,3.0,117.516,352.55,2011-10-25,2011-11-10,2,Vendas    
7985,04,62.461.140/0008-90,SP,011,00000086,MF0174,MANGA FILTRO AS-420.TE D-260 X H-550              ,3.0,161.503,484.51,2011-10-25,2011-11-10,2,Vendas    
7986,04,62.461.140/0008-90,SP,015,00000086,MF0174,MANGA FILTRO AS-420.TE D-260 X H-550              ,3.0,161.503,484.51,2011-10-25,2011-11-10,2,Vendas    
7987,04,62.461.140/0008-90,SP,011,00000086,MF0175,MANGA FILTRO AS-120.TE D-220 X H-450              ,3.0,151.563,454.69,2011-10-25,2011-11-10,2,Vendas    
7988,04,62.461.140/0008-90,SP,015,00000086,MF0175,MANGA FILTRO AS-120.TE D-220 X H-450              ,3.0,151.563,454.69,2011-10-25,2011-11-10,2,Vendas    
7989,04,62.461.140/0008-90,SP,011,00000086,JT0013,JUNTA FILTRO AS-120.TE D-600XH-140XD-160 MM       ,2.0,305.55,611.1,2011-10-25,2011-11-10,2,Vendas    
7990,04,62.461.140/0008-90,SP,015,00000086,JT0013,JUNTA FILTRO AS-120.TE D-600XH-140XD-160 MM       ,2.0,305.55,611.1,2011-10-25,2011-11-10,2,Vendas    
7991,04,62.461.140/0008-90,SP,011,00000086,JT0014,JUNTA FILTRO AS-120.TE D-800XH-150XD-400 MM       ,2.0,354.1,708.2,2011-10-25,2011-11-10,2,Vendas    
7992,04,62.461.140/0008-90,SP,015,00000086,JT0014,JUNTA FILTRO AS-120.TE D-800XH-150XD-400 MM       ,2.0,354.1,708.2,2011-10-25,2011-11-10,2,Vendas    
7993,04,62.461.140/0008-90,SP,011,00000086,JT0019,JUNTA FILTRO AS-130.CA H-200XD-310XD-330          ,3.0,252.08,756.24,2011-10-25,2011-11-10,2,Vendas    
7994,04,62.461.140/0008-90,SP,015,00000086,JT0019,JUNTA FILTRO AS-130.CA H-200XD-310XD-330          ,3.0,252.08,756.24,2011-10-25,2011-11-10,2,Vendas    
7995,04,01.445.408/0001-30,SP,011,00000087,BF0070,BOLSA FILTRO AS-375.TE D-610 X H-420              ,8.0,256.52,2052.16,2011-10-25,2011-11-07,2,Vendas    
7996,04,01.445.408/0001-30,SP,014,00000087,BF0070,BOLSA FILTRO AS-375.TE D-610 X H-420              ,8.0,256.52,2052.16,2011-10-25,2011-11-07,2,Vendas    
7997,04,01.445.408/0001-30,SP,011,00000087,BF0071,BOLSA FILTRO AS-375.TE D-900 X H-370              ,8.0,264.0,2112.0,2011-10-25,2011-11-07,2,Vendas    
7998,04,01.445.408/0001-30,SP,014,00000087,BF0071,BOLSA FILTRO AS-375.TE D-900 X H-370              ,8.0,264.0,2112.0,2011-10-25,2011-11-07,2,Vendas    
